,Year,Mon,Month,PRCP,TMAX,TMIN,RH,EVP,TSUN,U2,PET,SPI
182,Feb-76,2,FEB,35.3,35.7,22.3,69,5.1,7.7,4.6,182.6267638,1.249393498
183,Mar-76,3,MAR,33,35.1,23.8,69,5.7,7.2,5.1,200.8328102,-0.146068078
184,Apr-76,4,APR,132.3,33.9,21.6,71,4.7,6.6,3.3,175.8149994,0.518423599
185,May-76,5,MAY,188.9,32.2,21.7,80,3,6.6,5,174.8835877,0.528029003
186,Jun-76,6,JUN,164.1,30.1,21.6,83,2.1,6.1,4.6,141.6669651,-0.335215809
187,Jul-76,7,JUL,63.5,28.3,21.1,82,2.1,4.6,4,118.2337429,-1.491293875
188,Aug-76,8,AUG,64.8,27.9,21.3,85,1.9,3,5,142.7095411,-0.951562034
189,Sep-76,9,SEP,62.3,29.1,21.9,84,2,4.3,4,124.8904132,-2.971503773
190,Oct-76,10,OCT,292.1,31,21.6,84,1.7,4.5,4,155.2799137,1.476756703
191,Nov-76,11,NOV,41.7,33.3,20.8,78,3.5,6.9,3,151.8413973,1.134216717
192,Dec-76,12,DEC,0,33.9,19.1,70,4.7,7.4,3.2,159.2717368,0.604585347
193,Jan-77,1,JAN,0,33.1,22.2,72,5,6.4,8,188.2189218,0.253347103
194,Feb-77,2,FEB,0,33.9,24.2,63,7.2,6.2,6,156.7135331,-0.253347103
195,Mar-77,3,MAR,26,35.1,24.1,57,8.1,4.7,6,176.9231127,-0.429287868
196,Apr-77,4,APR,46.4,33.2,25.3,69,5.3,6.4,6,155.1491657,-1.122174513
197,May-77,5,MAY,169.7,30.9,22.9,71,3.2,7.5,5,159.6090875,0.268030618
198,Jun-77,6,JUN,186.4,30.1,22.1,85,2.1,5.8,4.2,137.9611186,0.013476573
199,Jul-77,7,JUL,65.4,28.2,20.9,84,2,4.3,5,133.1017074,-1.444431965
200,Aug-77,8,AUG,28.2,27.9,21.8,83,2.1,3.5,4,136.2394544,-1.881959517
201,Sep-77,9,SEP,244.7,29.1,20.6,88,1.7,3.6,3,149.8394091,0.377877104
202,Oct-77,10,OCT,162.1,30,20.7,83,2.5,6.4,3,151.7497012,0.311196291
203,Nov-77,11,NOV,0,32.2,19.2,69,5.4,7.9,3,162.0076086,-0.253347103
204,Dec-77,12,DEC,0,33.3,20.3,62,5.5,7.2,3.4,149.0397733,0.604585347
205,Jan-78,1,JAN,0,33.6,22.1,56,6.8,8.3,5,181.2579421,0.253347103
206,Feb-78,2,FEB,3.1,35,21.9,71,6.6,8.4,6,196.6173307,0.040378139
207,Mar-78,3,MAR,56.5,35.4,23.8,72,5.1,7.4,7,219.7122888,0.597537595
208,Apr-78,4,APR,180.4,33.5,23.7,80,2.9,5.7,8,186.5361823,1.123032272
209,May-78,5,MAY,252.3,33.2,22.9,82,2.4,7.3,6,190.5594749,1.280072761
210,Jun-78,6,JUN,136.2,31.4,22.2,83,2,6,6,159.6688203,-0.820042838
211,Jul-78,7,JUL,154.2,29.6,21.9,85,1.8,3.7,2,108.9199397,0.11628101
212,Aug-78,8,AUG,133.7,28.7,21.8,87,1.9,3.6,3,118.514536,0.05781352
213,Sep-78,9,SEP,195.9,29.8,21.6,86,1.6,4.1,2,124.4073483,-0.267394285
214,Oct-78,10,OCT,66.1,31.3,20.9,83,3.3,5.6,2,133.136428,-1.079736082
215,Nov-78,11,NOV,31,35.1,19.1,65,7.1,8.2,1,137.5175311,0.962823678
216,Dec-78,12,DEC,0,34.2,18.9,71,7.4,7.7,3,172.1577045,0.604585347
217,Jan-79,1,JAN,8.2,33.3,22.2,71,8.8,7.4,5,173.5590459,0.899676234
218,Feb-79,2,FEB,0,35.8,22.9,66,11.6,8.5,5,187.0219878,-0.253347103
219,Mar-79,3,MAR,90.9,36.1,23.8,69,9,6,7,218.1836793,1.393424124
220,Apr-79,4,APR,61.4,33,23.5,74,7.3,7.1,8,185.0275031,-0.734126982
221,May-79,5,MAY,110.3,31.9,23.2,79,4.4,6.2,7,173.2788486,-0.689001039
222,Jun-79,6,JUN,144.7,30.1,21.9,83,3.6,4.9,6,141.2138198,-0.665680516
223,Jul-79,7,JUL,165.8,29.3,20.9,84,3.5,4.8,6,140.9628373,0.268765785
224,Aug-79,8,AUG,196.2,30.2,20.8,85,3.2,4,7,150.9693014,0.69521242
225,Sep-79,9,SEP,238.1,30.1,21.7,86,2.6,5.4,5,138.0772669,0.29595242
226,Oct-79,10,OCT,160,31.1,21.9,84,3,6.2,5,156.918987,0.287991278
227,Nov-79,11,NOV,17.5,34.2,20.8,79,5.2,7.3,3,160.1945138,0.691152327
228,Dec-79,12,DEC,0,33.3,19.2,62,10.6,7.4,4,173.2107783,0.604585347
229,Jan-80,1,JAN,0,33.9,19.9,75,7.2,7.1,7,209.580779,0.253347103
230,Feb-80,2,FEB,18.8,35.2,22.8,69,9.5,6.6,5,167.0816431,0.765285407
231,Mar-80,3,MAR,3.6,35.9,23.9,71,8.8,7.7,5,196.4544758,-1.695530305
232,Apr-80,4,APR,44.4,33.1,22.8,72,7.6,6.9,6,180.7333559,-1.180423303
233,May-80,5,MAY,135.2,32.3,21.9,79,4.5,6.6,7,184.1204646,-0.253437526
234,Jun-80,6,JUN,214.7,29.8,21.7,81,3.7,6.4,6,132.7365843,0.417902372
235,Jul-80,7,JUL,123.9,29.1,20.9,85,3,3.6,6,140.4602669,-0.322220225
236,Aug-80,8,AUG,280.1,28.9,21.1,85,2.5,4,7,143.414721,1.368210638
237,Sep-80,9,SEP,214.6,30.3,21.2,86,2.5,4.5,5,154.6716578,-0.008644806
238,Oct-80,10,OCT,197.3,33.2,21.8,82,2.9,6.1,5,185.0131043,0.673656449
239,Nov-80,11,NOV,2.9,34.9,22.2,75,5.5,6.6,5,191.7825506,0.175381798
240,Dec-80,12,DEC,1.6,33.3,16.4,56,8.1,6.5,4,186.9160317,0.828370221
241,Jan-81,1,JAN,0,34.1,19.2,56,9.5,7.1,3,160.974565,0.253347103
242,Feb-81,2,FEB,0,35.3,22.3,63,11.1,7.4,4,168.1249986,-0.253347103
243,Mar-81,3,MAR,117.7,34.2,22.9,73,8,6.8,6,195.7219421,1.89077069
244,Apr-81,4,APR,86.3,34.3,22.8,74,6.6,7.3,7,197.3146752,-0.216468633
245,May-81,5,MAY,265.8,33.3,22.3,80,4,6.7,6,163.4165685,1.42390016
246,Jun-81,6,JUN,225.8,30.2,22.1,83,3.5,6.6,5,119.6946214,0.566859328
247,Jul-81,7,JUL,163.3,28.3,20.9,86,3.2,3.6,5,120.487405,0.23651803
248,Aug-81,8,AUG,76.8,28.2,20.8,87,2.7,3.1,4,139.2595414,-0.734229193
